tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
AFP	This study		0.4	172.1	24.4	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:20:54	1.01E-06	7.10E-09	6.49E-09	2.35E-09	8	273	Y2102-1a_LP-DIR-AF-11	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.2.50	Y2102-1a	u	0.03	0	0	0	1	273
AFP	This study		0.2	173.5	24.5	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:23:12	9.08E-07	5.72E-09	2.67E-09	2.16E-09	8	273	Y2102-1a_LP-DIR-AF-12	LT-AF-Z:LP-DIR-AF	g	12	pmagpy-4.2.50	Y2102-1a	u	0.04	0	0	0	11	273
AFP	This study		0.3	172.2	24.4	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:25:30	8.34E-07	5.80E-09	3.41E-09	2.02E-09	8	273	Y2102-1a_LP-DIR-AF-13	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.2.50	Y2102-1a	u	0.05	0	0	0	12	273
AFP	This study		0.4	172.7	24.7	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:27:48	7.82E-07	5.29E-09	5.36E-09	1.81E-09	8	273	Y2102-1a_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.50	Y2102-1a	u	0.06	0	0	0	13	273
AFP	This study		0.4	172.8	24.7	Y2102-1a_LP-DIR-AF	lancaste 2022-04-19 15:30:06	6.94E-07	4.48E-09	4.28E-09	1.59E-09	8	273	Y2102-1a_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	15	pmagpy-4.2.50	Y2102-1a	u	0.08	0	0	0	14	273
AFP	This study		0.3	165.9	26.4	Y2102-2a_LP-DIR-T	lancaste 2022-03-24 15:24:42	7.66E-07	5.42E-09	1.83E-09	1.82E-09	8	273	Y2102-2a_LP-DIR-T-16	LT-NO:LP-DIR-T	g	16	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0		273
AFP	This study		1	167	25.7	Y2102-2a_LP-DIR-T	lancaste 2022-04-27 15:02:08	7.67E-07	8.27E-09	6.06E-09	9.65E-09	8	273	Y2102-2a_LP-DIR-T-17	LT-NO:LP-DIR-T	g	17	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	1	273
AFP	This study		1	166.1	26.2	Y2102-2a_LP-DIR-T	lancaste 2022-04-28 11:57:29	7.35E-07	8.82E-09	3.40E-09	9.60E-09	8	273	Y2102-2a_LP-DIR-T-18	LT-T-Z:LP-DIR-T	g	18	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	2	373
AFP	This study		1	166.5	26.6	Y2102-2a_LP-DIR-T	lancaste 2022-04-28 15:08:01	7.07E-07	7.86E-09	4.52E-09	9.66E-09	8	273	Y2102-2a_LP-DIR-T-19	LT-T-Z:LP-DIR-T	g	19	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	3	473
AFP	This study		1	166.3	26.7	Y2102-2a_LP-DIR-T	lancaste 2022-04-28 18:43:08	6.98E-07	8.18E-09	3.53E-09	9.15E-09	8	273	Y2102-2a_LP-DIR-T-20	LT-T-Z:LP-DIR-T	g	2	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	4	523
AFP	This study		1.6	165.2	26.8	Y2102-2a_LP-DIR-T	lancaste 2022-04-29 17:20:52	6.89E-07	4.87E-09	1.75E-08	8.92E-09	8	273	Y2102-2a_LP-DIR-T-21	LT-T-Z:LP-DIR-T	g	21	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	5	573
AFP	This study		1.1	165.1	26.8	Y2102-2a_LP-DIR-T	lancaste 2022-05-02 14:50:03	6.52E-07	8.47E-09	6.63E-09	8.12E-09	8	273	Y2102-2a_LP-DIR-T-22	LT-T-Z:LP-DIR-T	g	22	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	6	623
AFP	This study		1.5	165.9	26.8	Y2102-2a_LP-DIR-T	lancaste 2022-05-02 18:40:53	6.44E-07	4.42E-09	1.43E-08	8.27E-09	8	273	Y2102-2a_LP-DIR-T-23	LT-T-Z:LP-DIR-T	g	23	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	7	673
AFP	This study		1	165.3	27.7	Y2102-2a_LP-DIR-T	lancaste 2022-05-03 18:30:15	3.15E-07	3.25E-09	2.60E-09	4.16E-09	8	273	Y2102-2a_LP-DIR-T-24	LT-T-Z:LP-DIR-T	g	24	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	8	723
AFP	This study		1	165.8	26.7	Y2102-2a_LP-DIR-T	lancaste 2022-05-03 22:24:51	3.06E-07	2.88E-09	2.66E-09	4.18E-09	8	273	Y2102-2a_LP-DIR-T-25	LT-T-Z:LP-DIR-T	g	25	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	9	748
AFP	This study		1.9	166.8	27	Y2102-2a_LP-DIR-T	lancaste 2022-05-05 11:29:35	2.39E-07	4.32E-09	7.07E-09	3.14E-09	8	273	Y2102-2a_LP-DIR-T-26	LT-T-Z:LP-DIR-T	g	26	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	1	773
AFP	This study		1.3	166.2	26.6	Y2102-2a_LP-DIR-T	lancaste 2022-05-10 17:16:38	1.50E-07	1.35E-09	2.31E-09	2.18E-09	8	273	Y2102-2a_LP-DIR-T-27	LT-T-Z:LP-DIR-T	g	27	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	11	793
AFP	This study		1.2	165.7	27.4	Y2102-2a_LP-DIR-T	lancaste 2022-05-11 08:30:28	1.32E-07	1.85E-09	1.04E-09	1.91E-09	8	273	Y2102-2a_LP-DIR-T-28	LT-T-Z:LP-DIR-T	g	28	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	12	813
AFP	This study		1.4	166.3	27.4	Y2102-2a_LP-DIR-T	lancaste 2022-05-17 12:06:12	1.31E-07	2.10E-09	1.80E-09	1.87E-09	8	273	Y2102-2a_LP-DIR-T-29	LT-T-Z:LP-DIR-T	g	29	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	13	833
AFP	This study		1.3	166.8	27.6	Y2102-2a_LP-DIR-T	lancaste 2022-05-18 08:53:42	1.01E-07	1.40E-09	1.56E-09	1.41E-09	8	273	Y2102-2a_LP-DIR-T-30	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.50	Y2102-2a	u	0	0	0	0	14	853
AFP	This study		0.3	165.5	25.7	Y2102-2b_LP-DIR-T		4.76E-07	3.73E-09	1.66E-09	1.06E-09	8	273	Y2102-2b_LP-DIR-T-31	LT-NO:LP-DIR-T	g	31	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0		273
AFP	This study		0.4	165.7	25.6	Y2102-2b_LP-DIR-T		4.75E-07	3.70E-09	1.74E-09	1.24E-09	8	273	Y2102-2b_LP-DIR-T-32	LT-AF-Z:LP-DIR-T	g	32	pmagpy-4.2.50	Y2102-2b	u	0.0025	0	0	0	1	273
AFP	This study		0.4	165.7	25.5	Y2102-2b_LP-DIR-T		4.70E-07	4.02E-09	1.79E-09	1.23E-09	8	273	Y2102-2b_LP-DIR-T-33	LT-AF-Z:LP-DIR-T	g	33	pmagpy-4.2.50	Y2102-2b	u	0.005	0	0	0	2	273
AFP	This study		0.3	165.7	25.5	Y2102-2b_LP-DIR-T		4.61E-07	3.79E-09	1.17E-09	1.23E-09	8	273	Y2102-2b_LP-DIR-T-34	LT-AF-Z:LP-DIR-T	g	34	pmagpy-4.2.50	Y2102-2b	u	0.0075	0	0	0	3	273
AFP	This study		0.3	165.7	25.6	Y2102-2b_LP-DIR-T		4.47E-07	3.37E-09	1.33E-09	1.21E-09	8	273	Y2102-2b_LP-DIR-T-35	LT-AF-Z:LP-DIR-T	g	35	pmagpy-4.2.50	Y2102-2b	u	0.01	0	0	0	4	273
AFP	This study		0.3	165.8	25.7	Y2102-2b_LP-DIR-T		4.31E-07	3.19E-09	1.55E-09	1.15E-09	8	273	Y2102-2b_LP-DIR-T-36	LT-AF-Z:LP-DIR-T	g	36	pmagpy-4.2.50	Y2102-2b	u	0.0125	0	0	0	5	273
AFP	This study		0.2	165.7	25.7	Y2102-2b_LP-DIR-T		4.14E-07	3.23E-09	2.07E-10	1.13E-09	8	273	Y2102-2b_LP-DIR-T-37	LT-AF-Z:LP-DIR-T	g	37	pmagpy-4.2.50	Y2102-2b	u	0.015	0	0	0	6	273
AFP	This study		0.4	166	25.6	Y2102-2b_LP-DIR-T		3.82E-07	3.16E-09	1.49E-09	1.01E-09	8	273	Y2102-2b_LP-DIR-T-38	LT-AF-Z:LP-DIR-T	g	38	pmagpy-4.2.50	Y2102-2b	u	0.02	0	0	0	7	273
AFP	This study		0.3	166.2	25.9	Y2102-2b_LP-DIR-T		3.56E-07	2.74E-09	1.28E-09	9.77E-10	8	273	Y2102-2b_LP-DIR-T-39	LT-AF-Z:LP-DIR-T	g	39	pmagpy-4.2.50	Y2102-2b	u	0.025	0	0	0	8	273
AFP	This study		0.3	166.3	25.9	Y2102-2b_LP-DIR-T		3.27E-07	2.69E-09	9.62E-10	8.87E-10	8	273	Y2102-2b_LP-DIR-T-40	LT-AF-Z:LP-DIR-T	g	4	pmagpy-4.2.50	Y2102-2b	u	0.03	0	0	0	9	273
AFP	This study		0.3	166.5	25.9	Y2102-2b_LP-DIR-T		2.96E-07	2.43E-09	7.82E-10	8.34E-10	8	273	Y2102-2b_LP-DIR-T-41	LT-AF-Z:LP-DIR-T	g	41	pmagpy-4.2.50	Y2102-2b	u	0.04	0	0	0	1	273
AFP	This study		0.3	166.9	26	Y2102-2b_LP-DIR-T		2.68E-07	2.14E-09	9.93E-10	6.99E-10	8	273	Y2102-2b_LP-DIR-T-42	LT-AF-Z:LP-DIR-T	g	42	pmagpy-4.2.50	Y2102-2b	u	0.05	0	0	0	11	273
AFP	This study		0.3	167.2	25.9	Y2102-2b_LP-DIR-T		2.49E-07	1.93E-09	4.07E-10	6.88E-10	8	273	Y2102-2b_LP-DIR-T-43	LT-AF-Z:LP-DIR-T	g	43	pmagpy-4.2.50	Y2102-2b	u	0.06	0	0	0	12	273
AFP	This study		0.3	168.4	26.4	Y2102-2b_LP-DIR-T		2.29E-07	1.81E-09	5.60E-10	6.42E-10	8	273	Y2102-2b_LP-DIR-T-44	LT-AF-Z:LP-DIR-T	g	44	pmagpy-4.2.50	Y2102-2b	u	0.07	0	0	0	13	273
AFP	This study		0.3	166.8	26.3	Y2102-2b_LP-DIR-T		2.16E-07	1.66E-09	4.71E-10	5.77E-10	8	273	Y2102-2b_LP-DIR-T-45	LT-AF-Z:LP-DIR-T	g	45	pmagpy-4.2.50	Y2102-2b	u	0.08	0	0	0	14	273
AFP	This study		1.6	165.6	27.4	Y2102-2b_LP-DIR-T		2.14E-07	2.89E-09	3.86E-09	3.55E-09	8	273	Y2102-2b_LP-DIR-T-46	LT-T-Z:LP-DIR-T	g	46	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	15	333
AFP	This study		1.2	168.1	27.4	Y2102-2b_LP-DIR-T		2.14E-07	1.91E-09	1.45E-09	3.88E-09	8	273	Y2102-2b_LP-DIR-T-47	LT-T-Z:LP-DIR-T	g	47	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	16	363
AFP	This study		2.5	165.5	27.4	Y2102-2b_LP-DIR-T		2.13E-07	3.86E-09	7.67E-09	3.69E-09	8	273	Y2102-2b_LP-DIR-T-48	LT-T-Z:LP-DIR-T	g	48	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	17	393
AFP	This study		1.2	166	27.5	Y2102-2b_LP-DIR-T		2.12E-07	2.25E-09	1.14E-09	3.73E-09	8	273	Y2102-2b_LP-DIR-T-49	LT-T-Z:LP-DIR-T	g	49	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	18	423
AFP	This study		1.3	167	27.4	Y2102-2b_LP-DIR-T		2.07E-07	1.64E-09	2.45E-09	3.77E-09	8	273	Y2102-2b_LP-DIR-T-50	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	19	523
AFP	This study		1.1	166.2	27.4	Y2102-2b_LP-DIR-T		2.07E-07	2.06E-09	1.37E-09	3.47E-09	8	273	Y2102-2b_LP-DIR-T-51	LT-T-Z:LP-DIR-T	g	51	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	2	523
AFP	This study		1.3	165.1	27.4	Y2102-2b_LP-DIR-T	lancaste 2022-04-29 17:48:53	2.05E-07	2.03E-09	1.90E-09	3.97E-09	8	273	Y2102-2b_LP-DIR-T-52	LT-T-Z:LP-DIR-T	g	52	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	21	573
AFP	This study		1.1	166.8	27.7	Y2102-2b_LP-DIR-T	lancaste 2022-05-02 15:18:03	2.04E-07	1.60E-09	1.77E-09	3.35E-09	8	273	Y2102-2b_LP-DIR-T-53	LT-T-Z:LP-DIR-T	g	53	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	22	623
AFP	This study		1.6	165.4	27.6	Y2102-2b_LP-DIR-T	lancaste 2022-05-02 19:07:57	1.99E-07	1.31E-09	4.63E-09	3.31E-09	8	273	Y2102-2b_LP-DIR-T-54	LT-T-Z:LP-DIR-T	g	54	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	23	673
AFP	This study		1.2	165.2	26.9	Y2102-2b_LP-DIR-T	lancaste 2022-05-03 18:58:31	1.58E-07	1.51E-09	1.35E-09	2.72E-09	8	273	Y2102-2b_LP-DIR-T-55	LT-T-Z:LP-DIR-T	g	55	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	24	723
AFP	This study		1.2	165.3	26.9	Y2102-2b_LP-DIR-T	lancaste 2022-05-03 22:53:07	1.56E-07	1.29E-09	1.35E-09	2.85E-09	8	273	Y2102-2b_LP-DIR-T-56	LT-T-Z:LP-DIR-T	g	56	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	25	748
AFP	This study		5.7	164.2	27	Y2102-2b_LP-DIR-T	lancaste 2022-05-05 11:57:48	1.50E-07	1.68E-08	1.15E-08	2.67E-09	8	273	Y2102-2b_LP-DIR-T-57	LT-T-Z:LP-DIR-T	g	57	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	26	773
AFP	This study		1.2	164.8	26.4	Y2102-2b_LP-DIR-T	lancaste 2022-05-10 17:34:04	1.09E-07	1.11E-09	6.31E-10	1.92E-09	8	273	Y2102-2b_LP-DIR-T-58	LT-T-Z:LP-DIR-T	g	58	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	27	793
AFP	This study		3.6	163.9	27.3	Y2102-2b_LP-DIR-T	lancaste 2022-05-11 08:41:29	1.01E-07	7.06E-10	6.31E-09	1.56E-09	8	273	Y2102-2b_LP-DIR-T-59	LT-T-Z:LP-DIR-T	g	59	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	28	813
AFP	This study		1.3	165.9	26.6	Y2102-2b_LP-DIR-T	lancaste 2022-05-17 12:15:14	1.02E-07	7.44E-10	1.78E-09	1.49E-09	8	273	Y2102-2b_LP-DIR-T-60	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	29	833
AFP	This study		1.9	166.1	27.8	Y2102-2b_LP-DIR-T	lancaste 2022-05-18 09:02:43	4.13E-08	4.01E-10	1.18E-09	7.13E-10	8	273	Y2102-2b_LP-DIR-T-61	LT-T-Z:LP-DIR-T	g	61	pmagpy-4.2.50	Y2102-2b	u	0	0	0	0	3	853
AFP	This study		0.4	167.2	24.3	Y2102-3a_LP-DIR-AF	lancaste 2022-03-24 15:27:30	2.48E-06	1.68E-08	1.59E-08	7.88E-09	8	273	Y2102-3a_LP-DIR-AF-62	LT-NO:LP-DIR-AF	g	62	pmagpy-4.2.50	Y2102-3a	u	0	0	0	0		273
AFP	This study		0.4	167.8	24.3	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:19:11	2.48E-06	1.62E-08	1.42E-08	9.13E-09	8	273	Y2102-3a_LP-DIR-AF-63	LT-NO:LP-DIR-AF	g	63	pmagpy-4.2.50	Y2102-3a	u	0	0	0	0	1	273
AFP	This study		0.4	168.2	24.1	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:21:34	2.47E-06	1.76E-08	1.19E-08	6.58E-09	8	273	Y2102-3a_LP-DIR-AF-64	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.2.50	Y2102-3a	u	0.0025	0	0	0	2	273
AFP	This study		0.3	168.1	24.2	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:23:57	2.44E-06	1.42E-08	1.16E-08	6.48E-09	8	273	Y2102-3a_LP-DIR-AF-65	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.2.50	Y2102-3a	u	0.005	0	0	0	3	273
AFP	This study		0.4	168.4	24.3	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:26:20	2.38E-06	1.53E-08	1.43E-08	6.37E-09	8	273	Y2102-3a_LP-DIR-AF-66	LT-AF-Z:LP-DIR-AF	g	66	pmagpy-4.2.50	Y2102-3a	u	0.0075	0	0	0	4	273
AFP	This study		0.4	168.4	24.4	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:28:42	2.30E-06	1.47E-08	1.58E-08	6.17E-09	8	273	Y2102-3a_LP-DIR-AF-67	LT-AF-Z:LP-DIR-AF	g	67	pmagpy-4.2.50	Y2102-3a	u	0.01	0	0	0	5	273
AFP	This study		0.4	168.6	24.5	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:31:04	2.19E-06	1.40E-08	1.24E-08	5.86E-09	8	273	Y2102-3a_LP-DIR-AF-68	LT-AF-Z:LP-DIR-AF	g	68	pmagpy-4.2.50	Y2102-3a	u	0.0125	0	0	0	6	273
AFP	This study		0.3	168.6	24.5	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:33:27	2.05E-06	1.32E-08	1.01E-08	5.49E-09	8	273	Y2102-3a_LP-DIR-AF-69	LT-AF-Z:LP-DIR-AF	g	69	pmagpy-4.2.50	Y2102-3a	u	0.015	0	0	0	7	273
AFP	This study		0.5	168.8	24.8	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:35:49	1.73E-06	1.17E-08	1.22E-08	4.70E-09	8	273	Y2102-3a_LP-DIR-AF-70	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.2.50	Y2102-3a	u	0.02	0	0	0	8	273
AFP	This study		0.3	168.8	25	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:38:11	1.42E-06	9.14E-09	4.81E-09	3.89E-09	8	273	Y2102-3a_LP-DIR-AF-71	LT-AF-Z:LP-DIR-AF	g	71	pmagpy-4.2.50	Y2102-3a	u	0.025	0	0	0	9	273
AFP	This study		0.3	168.9	24.7	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:40:33	1.10E-06	6.89E-09	5.28E-09	3.06E-09	8	273	Y2102-3a_LP-DIR-AF-72	LT-AF-Z:LP-DIR-AF	g	72	pmagpy-4.2.50	Y2102-3a	u	0.03	0	0	0	1	273
AFP	This study		0.4	168.8	24.7	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:42:54	8.13E-07	5.36E-09	4.94E-09	2.32E-09	8	273	Y2102-3a_LP-DIR-AF-73	LT-AF-Z:LP-DIR-AF	g	73	pmagpy-4.2.50	Y2102-3a	u	0.04	0	0	0	11	273
AFP	This study		0.3	172.6	24.9	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:45:17	6.08E-07	3.15E-09	2.91E-09	1.68E-09	8	273	Y2102-3a_LP-DIR-AF-74	LT-AF-Z:LP-DIR-AF	g	74	pmagpy-4.2.50	Y2102-3a	u	0.05	0	0	0	12	273
AFP	This study		0.4	170.7	24.9	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:47:40	4.86E-07	3.28E-09	2.32E-09	1.38E-09	8	273	Y2102-3a_LP-DIR-AF-75	LT-AF-Z:LP-DIR-AF	g	75	pmagpy-4.2.50	Y2102-3a	u	0.06	0	0	0	13	273
AFP	This study		0.3	172.2	24.2	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:50:03	3.98E-07	2.47E-09	1.84E-09	1.14E-09	8	273	Y2102-3a_LP-DIR-AF-76	LT-AF-Z:LP-DIR-AF	g	76	pmagpy-4.2.50	Y2102-3a	u	0.07	0	0	0	14	273
AFP	This study		0.3	170.4	23.8	Y2102-3a_LP-DIR-AF	lancaste 2022-04-06 16:52:25	3.32E-07	2.16E-09	1.53E-09	9.77E-10	8	273	Y2102-3a_LP-DIR-AF-77	LT-AF-Z:LP-DIR-AF	g	77	pmagpy-4.2.50	Y2102-3a	u	0.08	0	0	0	15	273
AFP	This study		0.4	168.7	25.2	Y2102-4a_LP-DIR-AF	lancaste 2022-03-24 15:29:54	3.79E-06	2.48E-08	1.52E-08	1.43E-08	8	273	Y2102-4a_LP-DIR-AF-78	LT-NO:LP-DIR-AF	g	78	pmagpy-4.2.50	Y2102-4a	u	0	0	0	0		273
AFP	This study		0.4	165.5	25	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:32:21	3.78E-06	3.04E-08	1.44E-08	1.55E-08	8	273	Y2102-4a_LP-DIR-AF-79	LT-NO:LP-DIR-AF	g	79	pmagpy-4.2.50	Y2102-4a	u	0	0	0	0	1	273
AFP	This study		0.3	165.4	24.9	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:34:39	3.78E-06	2.55E-08	8.38E-09	7.74E-09	8	273	Y2102-4a_LP-DIR-AF-80	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.2.50	Y2102-4a	u	0.0025	0	0	0	2	273
AFP	This study		0.3	165.5	24.8	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:36:57	3.73E-06	2.56E-08	1.42E-08	7.76E-09	8	273	Y2102-4a_LP-DIR-AF-81	LT-AF-Z:LP-DIR-AF	g	81	pmagpy-4.2.50	Y2102-4a	u	0.005	0	0	0	3	273
AFP	This study		0.3	165.6	24.8	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:39:15	3.64E-06	2.59E-08	1.06E-08	7.67E-09	8	273	Y2102-4a_LP-DIR-AF-82	LT-AF-Z:LP-DIR-AF	g	82	pmagpy-4.2.50	Y2102-4a	u	0.0075	0	0	0	4	273
AFP	This study		0.3	165.7	24.8	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:41:34	3.51E-06	2.57E-08	1.10E-08	7.42E-09	8	273	Y2102-4a_LP-DIR-AF-83	LT-AF-Z:LP-DIR-AF	g	83	pmagpy-4.2.50	Y2102-4a	u	0.01	0	0	0	5	273
AFP	This study		0.3	165.8	24.9	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:43:52	3.33E-06	2.30E-08	9.07E-09	7.13E-09	8	273	Y2102-4a_LP-DIR-AF-84	LT-AF-Z:LP-DIR-AF	g	84	pmagpy-4.2.50	Y2102-4a	u	0.0125	0	0	0	6	273
AFP	This study		0.4	165.7	24.9	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:46:25	3.10E-06	2.16E-08	1.44E-08	6.70E-09	8	273	Y2102-4a_LP-DIR-AF-85	LT-AF-Z:LP-DIR-AF	g	85	pmagpy-4.2.50	Y2102-4a	u	0.015	0	0	0	7	273
AFP	This study		0.2	165.8	25	Y2102-4a_LP-DIR-AF	lancaste 2022-04-19 15:48:43	2.60E-06	1.69E-08	5.23E-09	5.76E-09	8	273	Y2102-4a_LP-DIR-AF-86	LT-AF-Z:LP-DIR-AF	g	86	pmagpy-4.2.50	Y2102-4a	u	0.02	0	0	0	8	273
